"","num_critic_for_reviews","duration","director_facebook_likes","actor_3_facebook_likes","actor_1_facebook_likes","gross","num_voted_users","cast_total_facebook_likes","facenumber_in_poster","num_user_for_reviews","budget","title_year","actor_2_facebook_likes","imdb_score","aspect_ratio","movie_facebook_likes"
"140",284,90,90,15,11000,165230261,182718,21015,0,209,150000000,2011,10000,7.3,2.35,20000
"141",280,103,0,346,1000,131564731,118951,2857,0,1382,150000000,2010,756,4.2,2.35,18000
"142",310,124,14000,979,22000,133382309,256695,34817,0,871,150000000,2006,10000,6.9,2.35,0
"143",339,131,776,256,17000,73103784,164238,18204,2,434,150000000,2013,551,6.4,2.35,33000
"144",132,88,25,433,921,21379315,17590,2652,0,112,150000000,2011,562,5.4,2.35,0
"145",135,85,42,586,20000,64459316,85086,35161,0,122,149000000,2006,14000,6.7,1.85,0
"146",256,111,456,394,20000,34964818,39956,21393,4,186,150000000,2015,548,5.8,2.35,24000
"147",196,92,50,517,3000,111505642,47900,5810,2,130,145000000,2014,1000,6.9,1.85,11000
"148",220,196,249,844,11000,133228348,381672,17944,2,1694,175000000,2004,5000,7.2,2.35,0
"149",211,93,35,436,851,216366733,119213,2444,0,154,145000000,2012,770,6.9,1.85,17000
"150",264,133,93,746,769,160201106,169914,2538,0,1185,142000000,2002,766,6.1,2.35,0
"151",464,116,176,322,783,118099659,69757,2097,4,1211,144000000,2016,370,5.5,2.35,62000
"152",167,153,0,537,13000,201573391,322395,26029,0,1171,140000000,1998,12000,6.6,2.35,11000
"153",208,88,188,826,10000,190418803,270207,14823,2,606,140000000,2002,3000,6.1,1.85,2000
"154",287,115,0,964,18000,82161969,142440,31523,1,505,150000000,2007,12000,6.3,2.35,3000
"155",210,95,5,967,24000,143523463,64322,36095,0,145,145000000,2016,11000,7.2,2.35,24000
"156",432,133,663,690,10000,209364921,365104,21768,3,512,145000000,2011,10000,7.4,2.35,35000
"157",256,97,52,161,20000,103400692,123553,20645,0,174,145000000,2012,315,7.3,1.85,25000
"158",135,90,23,233,957,110332737,110788,1997,1,258,100000000,2005,550,6.1,2.35,2000
"159",190,154,380,445,10000,111110575,317166,11945,1,928,140000000,2003,956,7.7,2.35,0
"160",314,150,0,748,23000,65007045,128682,26490,0,657,140000000,2014,893,6.1,2.35,51000
"161",518,127,14000,981,26000,257704099,504419,39284,0,1559,150000000,2009,12000,8,2.35,19000
"162",291,121,0,4000,24000,403706375,544665,40484,0,2012,139000000,2002,11000,7.3,1.85,5000
"163",292,102,255,953,18000,176997107,221128,23378,5,343,145000000,2014,3000,7.9,2.35,46000
"164",184,126,295,284,18000,31141074,51892,19769,4,273,140000000,2016,934,5.5,2.35,24000
"165",145,121,357,653,820,31704416,45455,2705,0,388,135000000,2005,780,5,2.35,0
"166",451,215,0,413,986,107503316,392474,2530,1,1229,130000000,2009,745,7.7,2.35,18000
"167",141,127,503,91,5000,129734803,127497,6171,2,287,140000000,1998,808,6.6,2.35,0
"168",267,138,0,258,820,132122995,212106,1814,0,1445,137000000,2003,300,5.7,1.85,0
"169",351,122,209,934,17000,122512052,146352,31958,6,288,130000000,2013,12000,5.8,2.35,42000
"170",163,124,42,848,11000,68642452,77673,13073,3,463,130000000,2005,973,6,2.35,0
"171",166,106,6,422,12000,32131830,72259,15015,1,788,137000000,2001,2000,6.4,1.85,0
"172",510,124,394,2000,11000,176636816,508818,19761,0,679,140000000,2011,3000,6.9,2.35,46000
"173",197,128,150,244,766,126930660,157519,2037,2,683,135000000,1999,536,6.4,2.35,2000
"174",244,138,608,168,613,93926386,168207,1205,1,684,150000000,2003,172,7.4,2.35,0
"175",322,115,386,12000,21000,292298923,185394,59177,3,329,120000000,2012,17000,5.5,2.35,65000
"176",156,100,750,988,49000,63992328,32399,62644,0,79,135000000,2011,11000,5.9,2.35,0
"177",354,135,255,882,3000,134518390,326286,5811,0,643,150000000,2008,1000,6.8,2.35,0
"178",21,60,NA,184,982,NA,16769,1687,2,74,1500000,NA,321,7.5,1.33,0
"179",252,117,14000,358,535,52792307,12572,1950,0,106,140000000,2016,400,6.8,2.35,27000
"180",556,156,0,733,29000,183635922,406020,57108,0,1188,135000000,2015,27000,8.1,2.35,190000
"181",166,96,13,463,16000,83024900,62424,17416,0,90,135000000,2013,881,6.5,2.35,13000
"182",362,107,563,939,40000,123207194,183208,43291,0,337,135000000,2011,1000,7.2,2.35,26000
"183",153,92,35,179,19000,83348920,60230,19963,0,118,132000000,2014,411,6.7,1.85,11000
"184",329,115,521,883,13000,227137090,491077,17369,0,820,110000000,2007,897,8.1,2.35,0
"185",266,92,54,562,11000,215395021,307029,12754,0,360,130000000,2008,967,7.6,2.35,6000
"186",517,117,235,680,2000,180191634,313866,5730,6,549,130000000,2015,2000,7.4,1.85,61000
"187",502,146,508,523,34000,424645577,498397,49355,1,706,130000000,2013,14000,7.6,2.35,82000
"188",322,115,386,12000,21000,292298923,185394,59177,3,329,120000000,2012,17000,5.5,2.35,65000
"189",165,94,12,183,17000,177343675,70121,17883,0,214,135000000,2015,523,6.7,1.85,26000
"190",401,116,14000,807,10000,234277056,334345,12758,0,2741,132000000,2005,1000,6.5,1.85,0
"191",94,147,0,877,10000,138396624,178126,12954,1,511,130000000,2003,898,6.6,2.35,0
"192",246,90,50,397,4000,149234747,114287,5046,0,137,130000000,2011,442,6.7,2.35,16000
"193",330,101,176,282,11000,118311368,245621,12406,1,514,110000000,2010,702,6.4,2.35,23000
"194",434,138,0,8000,12000,101160529,200022,32355,2,1240,125000000,2014,9000,5.8,1.85,71000
"195",440,107,14000,845,2000,77564037,177383,4631,1,447,135000000,2011,871,7.4,2.35,44000
"196",274,142,0,10000,11000,249358727,382255,33284,3,1504,130000000,2004,10000,7.8,2.35,11000
"197",245,165,1000,165,309,49551662,102338,921,0,450,130000000,2008,284,6.6,2.35,0
"198",349,100,0,894,10000,60522097,158720,14168,0,744,130000000,2013,943,4.9,2.35,37000
"199",145,82,0,388,1000,137748063,38438,2945,1,241,127500000,2000,558,6.5,1.85,0
"200",1,NA,0,159,10000,NA,381,11036,1,2,NA,2011,570,7.5,NA,40
"201",154,98,189,1000,49000,113733726,67223,53587,7,126,127000000,2014,3000,6.2,1.85,11000
"202",233,95,96,8000,24000,148337537,172754,46120,3,187,130000000,2010,11000,7.3,2.35,13000
"203",258,159,0,645,11000,317557891,444683,13191,4,1571,125000000,2001,687,7.5,2.35,16000
"204",208,96,124,1000,16000,33592415,91640,31549,2,210,130000000,2013,12000,5.6,2.35,20000
"205",1,120,28,12,544,NA,374,699,0,13,NA,2016,106,8.2,2.35,0
"206",271,143,563,1000,40000,305388685,809474,48184,3,2113,140000000,2003,5000,8.1,2.35,10000
"207",4,NA,0,1000,10000,NA,252,14719,1,2,NA,2010,2000,6.4,NA,25
"208",403,123,508,14000,34000,337103873,305008,81385,1,591,125000000,2014,22000,6.7,2.35,52000
"209",294,174,2000,362,15000,217536138,314253,16008,2,1966,125000000,2006,574,6.6,2.35,0
"210",159,101,107,56,688,131536019,58498,1031,0,99,103000000,2014,237,6.4,2.35,0
"211",289,134,0,346,20000,214948780,405973,20952,4,1055,110000000,2003,505,7.5,2.35,0
"212",342,132,681,12000,23000,209805005,284792,55345,3,366,125000000,2011,14000,7.3,2.35,54000
"213",382,129,0,154,21000,186830669,338635,22403,2,412,125000000,2011,979,7.5,2.35,39000
"214",344,106,255,850,14000,163192114,229679,18003,0,637,125000000,2010,1000,5.8,2.35,15000
"215",196,113,719,217,605,119412921,240241,1441,0,391,65000000,1990,308,7.5,1.85,0
"216",85,102,323,241,845,32694788,101411,1815,1,546,85000000,1999,372,6.6,2.35,0
"217",436,135,209,602,10000,113165635,229823,12175,0,504,125000000,2012,826,6.7,2.35,31000
"218",183,125,541,409,920,107285004,189855,2699,3,1018,125000000,1997,890,3.7,1.85,0
"219",175,110,2000,636,1000,260031035,141414,4146,0,482,123000000,2000,722,6,1.85,0
"220",239,124,776,812,15000,186739919,333248,20553,0,1159,125000000,2004,2000,6.4,2.35,19000
"221",237,123,610,653,10000,215397307,242188,11930,0,1426,125000000,2000,794,6.1,2.35,0
"222",231,130,249,461,784,182618434,133076,2684,0,779,140000000,2000,638,6.4,2.35,0
"223",262,92,167,702,11000,131920333,213275,15302,3,436,130000000,2007,2000,5.6,2.35,0
"224",552,127,0,341,774,124976634,440084,2121,0,755,120000000,2012,358,8,1.85,122000
"225",276,123,160,402,12000,115802596,182661,14017,1,681,110000000,2007,701,5.2,2.35,0
"226",267,123,521,265,13000,108521835,40123,13752,0,297,120000000,2016,365,7.1,2.35,31000
"227",102,107,368,1000,2000,100685880,100821,4046,0,554,120000000,2003,1000,4.8,2.35,0
"228",775,124,0,641,13000,126464904,456260,24098,0,2326,130000000,2012,9000,7,2.35,97000
"229",71,77,50,537,886,64736114,36471,2682,0,69,120000000,2002,799,5.4,1.85,459
"230",476,109,662,1000,13000,93050117,338087,17689,0,814,115000000,2013,2000,6.6,2.35,61000
"231",207,134,123,567,14000,57637485,183909,17159,0,666,105000000,2004,850,6.7,2.35,0
"232",492,117,294,1000,10000,58607007,182899,14161,0,630,100000000,2014,2000,6.2,2.35,60000
"233",284,135,0,87,690,43929341,57873,902,0,414,120000000,2008,107,6.1,2.35,0
"234",168,121,274,157,273,30212620,35066,993,4,196,120000000,2010,216,5.3,1.85,0
"235",283,117,446,877,10000,76418654,148280,12731,0,348,117000000,2010,973,6.3,2.35,11000
"236",539,124,364,1000,11000,89021735,387436,22004,0,892,120000000,2013,10000,7,2.35,71000
"237",359,140,0,4000,20000,380262555,520104,44042,4,3286,113000000,2005,16000,7.6,2.35,10000
"238",284,142,0,4000,20000,310675583,464310,42990,3,3516,115000000,2002,16000,6.7,1.78,0
"239",250,92,0,773,12000,289907418,585659,15013,0,593,115000000,2001,1000,8.1,1.85,0
"240",440,138,446,929,20000,132550960,328067,23755,1,533,120000000,2013,992,6.7,2.35,68000
"241",320,136,0,1000,20000,474544677,534658,37723,1,3597,115000000,1999,14000,6.5,2.35,13000
"242",257,98,16,12000,16000,187165546,150618,43286,3,195,135000000,2013,15000,7.3,2.35,28000
"243",33,116,0,141,936,NA,20567,1609,1,36,78000000,2008,276,5.1,2.35,291
"244",152,153,610,617,12000,40911830,55994,15046,0,454,115000000,2002,836,6,2.35,0
"245",231,120,19,9000,26000,47952020,37750,46719,2,134,115000000,2016,11000,6.1,2.35,16000
"246",348,101,473,429,833,190871240,167085,2690,0,491,125000000,2014,809,5.9,2.35,62000
"247",738,91,0,13,39,274084951,582917,87,0,1885,100000000,2013,23,7.8,2.35,147000
"248",93,108,79,268,650,67155742,62271,1569,1,277,116000000,1997,293,5.8,2.35,0
"249",181,112,13,799,5000,81638674,17533,8306,NA,115,135000000,2016,833,6.3,2.35,12000
"250",369,100,128,78,596,56114221,110486,1261,3,695,120000000,2015,360,4.3,2.35,41000
"251",179,108,189,1000,49000,250863268,234480,55486,2,444,110000000,2006,3000,6.4,1.85,3000
"252",358,114,62,884,12000,155181732,147497,16718,0,499,110000000,2015,2000,6.1,2.35,52000
"253",160,119,55,387,811,125332007,149680,2958,3,328,110000000,1997,766,6.5,2.35,0
"254",192,142,776,1000,13000,113330342,207613,19454,1,1144,110000000,2000,2000,7.1,2.35,4000
"255",198,125,0,350,11000,125531634,284852,19359,0,627,110000000,2004,8000,6.4,2.35,0
"256",233,126,218,322,11000,186336103,348861,22722,2,798,120000000,2005,11000,6.5,2.35,0
"257",263,119,124,1000,14000,129995817,154621,22622,0,258,110000000,2015,5000,6.3,2.35,27000
"258",267,170,17000,827,29000,102608827,264318,34582,0,799,110000000,2004,3000,7.5,2.35,0
"259",184,85,11,116,480,42776259,53160,1173,1,121,112000000,2010,392,4.9,2.35,0
"260",447,119,1000,741,11000,98780042,136019,13391,0,443,120000000,2011,1000,5.8,2.35,14000
"261",29,60,NA,432,669,NA,25402,1655,4,97,NA,NA,554,7.6,4,0
"262",366,102,263,1000,6000,106369117,225273,10583,0,523,110000000,2014,1000,6.2,2.35,71000
"263",172,103,67,111,383,142614158,66593,692,3,153,110000000,2011,113,5.5,1.78,31000
"264",104,76,6,421,12000,50026353,13581,13607,0,88,110000000,2004,513,5.4,1.78,304
"265",181,120,124,943,6000,66002193,44296,12452,3,144,110000000,2016,5000,5.8,2.35,12000
"266",327,127,189,544,20000,85463309,254841,22254,1,426,110000000,2011,929,7.1,2.35,36000
"267",125,105,67,40,681,71017784,27257,914,3,59,105000000,2013,71,5.4,1.85,0
"268",79,121,101,202,673,48068396,60573,2027,0,248,160000000,1997,368,3.7,2.35,894
"269",326,114,151,430,11000,61656849,184561,12908,4,554,110000000,2013,635,6.7,2.35,123000
"270",354,129,235,297,13000,134520804,336235,13961,1,782,110000000,2007,300,7.2,2.35,0
"271",297,171,0,857,16000,313837577,1238746,22342,2,5060,93000000,2001,5000,8.8,2.35,21000
"272",188,120,153,447,1000,24004159,68720,3175,0,191,110000000,2004,1000,5.8,2.35,0
"273",174,165,0,780,10000,58183966,79186,14196,1,386,107000000,2001,851,6.8,2.35,0
"274",109,82,34,434,760,100446895,36033,2762,1,456,109000000,2003,743,3.8,1.85,946
"275",225,115,295,466,10000,144795350,387632,12068,1,789,120000000,2004,981,7.1,2.35,0
"276",239,194,0,195,14000,47396698,217373,19600,1,942,130000000,2005,5000,7.2,2.35,0
"277",101,84,50,692,979,140015224,94172,3382,0,179,133000000,1999,886,5.9,1.85,0
"278",228,97,63,525,852,104374107,89351,2480,0,214,105000000,2009,578,7.1,1.85,5000
"279",568,151,0,372,13000,228430993,472488,14831,1,1023,108000000,2015,801,8.1,2.35,153000
"280",NA,22,0,NA,5,NA,6,5,0,NA,NA,NA,NA,7.2,NA,0
"281",257,136,0,3000,19000,35799026,263329,34839,1,899,126000000,2005,12000,6.9,2.35,0
"282",62,104,23,591,752,6712451,4102,3133,0,89,90000000,2001,631,4.4,1.85,53
"283",175,127,57,3000,12000,101643008,218341,29069,1,498,90000000,2000,11000,6.5,2.35,0
"284",265,171,0,695,3000,187670866,982637,6521,0,2368,103000000,2000,933,8.5,2.35,21000
